GLCMcorrelation,GlobalEntropy,LBPentropy,EdgeDensity,EnergyRatio,SpectralVariance,Mean_RGB,Std_RGB,Skew_RGB,Label
0.9076604,6.44123,12.30895,0.1836735,0.7624072,1.358231,56.53351,30.98646,1.262062,0
0.9362517,6.547887,7.330085,0.2177934,0.7595519,1.35569,71.49792,29.46004,0.864863,0
0.8315629,6.123837,14.86096,0.2066327,0.7654597,1.190919,42.9079,21.62331,1.004738,0
0.9375435,6.943121,8.982682,0.2401148,0.7782006,0.9749435,108.1202,41.7678,-0.7332857,0
0.9767575,6.320301,9.014971,0.1396684,0.7584087,1.721457,118.0016,38.80222,-1.782119,0
0.9610278,6.524332,9.354361,0.1750638,0.7645642,1.533277,116.7726,39.98315,-1.523376,0
0.8394844,6.808273,11.75148,0.252551,0.7769365,1.305208,47.46221,38.78419,1.409923,0
0.9296451,6.111087,11.30921,0.2021684,0.7803742,0.9888521,141.2254,64.95092,0.7737293,0
0.846918,7.479861,12.07185,0.2028061,0.7748547,0.9816225,85.31178,47.23589,0.4950256,0
0.9057671,6.086709,11.60988,0.2174745,0.7693524,1.189697,39.92394,22.1243,1.209408,0
0.9092754,6.87731,11.23963,0.2340561,0.780895,1.24438,114.8189,53.85009,-0.7606848,0
0.9314015,7.517006,14.96425,0.209085,0.7716324,1.153263,113.7657,57.3313,-0.3218355,0
0.9569928,7.389395,12.91848,0.1881378,0.756101,1.369784,100.8973,57.63185,-0.1189888,0
0.9209647,7.497015,9.25514,0.236926,0.7760625,0.953132,116.1643,46.99429,0.00177968,0
0.9489396,7.125982,11.1769,0.1782525,0.7737087,1.38335,127.664,57.54109,-0.5839785,0
0.8762203,7.008309,10.0566,0.1986607,0.7720546,1.229821,57.51266,42.27803,0.8325469,0
0.6247916,6.260715,7.635794,0.3060703,0.7884558,0.6234828,46.91094,19.38637,0.6113809,0
0.8792089,7.276081,9.008237,0.1935587,0.7701317,1.109936,77.99821,52.14954,0.829601,0
0.8345455,6.762961,8.997317,0.2570153,0.778189,0.8393738,67.41498,31.27673,0.1462181,0
0.8939152,7.246424,13.61347,0.2372449,0.7741607,1.22431,157.0589,55.82275,-1.306612,0
0.9469321,7.310085,14.74613,0.1747449,0.7707945,1.361032,77.4109,57.65985,0.8340566,0
0.9003078,6.65693,11.22762,0.2002551,0.7679636,1.440458,65.27746,32.87343,0.6379827,0
0.9021727,7.042249,6.275692,0.232046,0.7727116,0.9654992,65.71077,48.49626,0.7056845,0
0.9472209,6.536381,9.250886,0.1811225,0.7650939,1.510155,116.4967,77.56194,0.8432391,0
0.9206223,6.966431,13.20127,0.1918295,0.7605284,1.396178,74.60779,35.07814,1.047188,0
0.8284754,7.05352,14.20897,0.2018495,0.7715085,1.122716,57.27493,38.44647,0.7684345,0
0.920139,7.540881,9.251349,0.2111756,0.776211,1.057982,112.8952,62.41673,0.286134,0
0.92349,7.453119,12.19222,0.2337372,0.7709494,1.167508,102.093,50.40636,-0.2033875,0
0.8826638,6.736073,12.24899,0.188896,0.7750774,1.066028,43.1443,38.73815,1.399073,0
0.9588456,7.057146,12.35618,0.1717489,0.7603893,1.345419,113.9958,52.78505,-0.06297991,0
0.9067808,7.291784,9.061524,0.2295918,0.7768748,1.186942,65.33282,63.14397,0.7833381,0
0.9133068,6.790829,11.92756,0.182398,0.7624575,1.383128,50.96067,37.48547,1.53192,0
0.948165,7.586389,8.769461,0.2468112,0.7699655,1.469631,119.8799,70.75954,-0.1971013,0
0.9531171,6.659859,8.776175,0.2270408,0.7563304,1.333293,77.34758,39.93459,-0.4581891,0
